exp,file_num,t_entry,motion_pre,occupied,scorer
567,24,85.0753,0.0004684563758389,False,gily
516,9,193.7544,0.0004977628635346,True,gily
541,4,174.9948,0.0005024608501118,False,gily
549,17,273.672,0.0005064876957494,True,gily
493,124,249.8906,0.0005096196868008,True,gily
559,9,137.9286,0.0005185682326621,True,gily
550,49,29.5014,0.0005335570469798,False,gily
546,1,139.4852,0.0005519015659955,False,gily
509,5,326.1168,0.0006507829977628,True,gily
505,17,256.112,0.0006682326621923,True,gily
508,57,157.0678,0.0007581655480984,True,gily
517,90,242.0795,0.0007888143176733,True,gily
565,31,2.336,0.0007977628635346,True,gily
563,2,124.7024,0.0007988814317673,True,gily
544,18,81.6968,0.0008395973154362,False,gily
496,8,78.5105,0.0008460850111856,True,gily
527,3,176.647,0.0008975391498881,True,gily
516,4,186.0328,0.0009302013422818,True,gily
514,14,269.6657,0.0009407158836689,True,gily
515,0,118.9283,0.0009601789709172,False,gily
560,5,132.5231,0.0010136465324384,True,gily
515,12,267.7066,0.0010709172259507,False,gily
550,37,245.7224,0.0011293064876957,False,gily
510,14,212.9894,0.0011505592841163,True,gily
561,5,234.069,0.0011577181208053,True,gily
510,1,204.7286,0.0011615212527964,True,gily
512,90,264.4086,0.0011729306487695,True,gily
522,8,274.659,0.0012445190156599,True,gily
565,30,2.2094,0.0012447427293064,True,gily
527,8,34.1551,0.0012583892617449,True,gily
496,5,242.7773,0.0012738255033557,True,gily
521,10,117.5831,0.0013214765100671,True,gily
559,8,130.6704,0.0014082774049217,True,gily
514,14,182.0769,0.001445413870246,True,gily
555,97,34.3375,0.0014720357941834,True,gily
520,3,282.0458,0.0015181208053691,True,gily
506,17,22.5002,0.0015275167785234,True,gily
499,13,212.8528,0.0015387024608501,True,gily
526,90,93.2213,0.0015961968680089,True,gily
552,79,34.1623,0.0016326621923937,True,gily
559,11,318.3236,0.0016440715883668,True,gily
498,0,164.5929,0.0016977628635346,True,gily
497,117,220.1912,0.0017230425055928,True,gily
541,5,107.4051,0.0017398210290827,True,gily
557,68,331.3301,0.0017608501118568,True,gily
498,4,26.3139,0.0017682326621923,True,gily
549,16,41.6506,0.0018145413870246,True,gily
516,9,125.8389,0.0018429530201342,True,gily
504,38,289.4293,0.0018503355704697,True,gily
563,2,169.4631,0.0018534675615212,True,gily
511,10,53.7497,0.002007158836689,True,gily
512,55,159.4075,0.0021756152125279,True,gily
501,167,210.3335,0.0022205816554809,True,gily
515,0,332.4663,0.0022872483221476,True,gily
510,13,331.9813,0.0023628635346756,True,gily
556,8,284.823,0.0023986577181208,True,gily
506,46,235.2301,0.0024055928411633,True,gily
518,20,120.8892,0.0024306487695749,True,gily
515,12,302.1136,0.0025447427293064,True,gily
532,2,214.3586,0.0026022371364653,True,gily
530,3,70.2505,0.0026127516778523,True,gily
555,15,29.5826,0.0026574944071588,True,gily
527,2,243.0529,0.0026583892617449,True,gily
567,2,154.9184,0.0027362416107382,True,gily
520,5,168.6941,0.0028261744966442,True,gily
499,16,171.1828,0.0030968680089485,True,gily
549,14,174.0921,0.0031270693512304,True,gily
520,6,213.314,1.5659955257270697e-06,True,gily
504,192,142.2427,1.5659955257270697e-06,True,gily
518,7,109.8893,1.7897091722595078e-06,True,gily
548,155,212.3911,1.7897091722595078e-06,True,gily
517,138,111.1331,1.7897091722595078e-06,True,gily
505,169,140.3596,1.7897091722595078e-06,True,gily
519,206,135.029,1.7897091722595078e-06,True,gily
496,7,213.1719,1.7897091722595078e-06,True,gily
504,68,30.9927,1.7897091722595078e-06,True,gily
497,167,239.7825,2.013422818791946e-06,True,gily
519,98,140.9775,2.013422818791946e-06,True,gily
504,68,144.852,2.013422818791946e-06,True,gily
555,93,125.7272,2.013422818791946e-06,True,gily
555,93,282.7814,2.237136465324385e-06,True,gily
505,13,233.3765,2.237136465324385e-06,True,gily
545,109,72.6343,2.237136465324385e-06,False,gily
501,46,229.3217,2.237136465324385e-06,True,gily
501,1,351.0413,2.237136465324385e-06,True,gily
516,2,96.9553,2.237136465324385e-06,True,gily
530,2,262.916,2.460850111856824e-06,False,gily
494,5,75.8544,2.460850111856824e-06,True,gily
504,8,157.9101,2.460850111856824e-06,True,gily
513,149,119.4094,2.460850111856824e-06,True,gily
517,160,329.3345,2.460850111856824e-06,True,gily
517,84,91.6585,2.460850111856824e-06,True,gily
501,214,68.562,2.6845637583892617e-06,True,gily
505,162,275.7547,2.6845637583892617e-06,True,gily
517,1,24.9518,2.6845637583892617e-06,True,gily
513,16,266.5212,2.6845637583892617e-06,True,gily
517,193,349.8853,2.6845637583892617e-06,True,gily
513,175,111.6978,2.684563758389262e-06,True,gily
521,52,134.0752,2.9082774049217005e-06,True,gily
497,190,337.615,2.9082774049217005e-06,True,gily
505,86,119.0749,2.9082774049217005e-06,True,gily
504,179,309.3111,3.1319910514541385e-06,True,gily
555,93,86.9168,3.1319910514541385e-06,True,gily
550,19,147.0402,3.131991051454139e-06,True,gily
496,10,46.5371,3.131991051454139e-06,True,gily
516,5,259.4754,3.131991051454139e-06,True,gily
519,57,75.814,3.131991051454139e-06,True,gily
512,90,29.9219,3.131991051454139e-06,True,gily
519,93,201.3786,3.13199105145414e-06,True,gily
493,16,98.6745,3.3557046979865773e-06,True,gily
494,45,38.685,3.3557046979865773e-06,True,gily
519,83,260.9305,3.3557046979865773e-06,True,gily
555,92,86.5284,3.3557046979865773e-06,True,gily
545,127,15.8276,3.3557046979865773e-06,False,gily
517,1,214.3424,3.355704697986578e-06,True,gily
504,8,173.0426,3.579418344519016e-06,True,gily
548,2,45.7156,3.579418344519016e-06,True,gily
517,143,207.9939,3.8031319910514536e-06,True,gily
517,178,230.3049,3.8031319910514553e-06,True,gily
526,15,107.5487,3.8031319910514553e-06,True,gily
548,116,65.7277,3.8031319910514553e-06,False,gily
505,64,79.8436,3.8031319910514553e-06,True,gily
493,112,160.7786,3.8031319910514553e-06,True,gily
501,158,116.2795,3.8031319910514553e-06,True,gily
506,8,101.8569,4.026845637583893e-06,True,gily
519,200,311.9363,4.026845637583893e-06,True,gily
512,109,344.5492,4.026845637583893e-06,True,gily
555,93,226.7002,4.250559284116331e-06,True,gily
565,116,63.7517,4.250559284116331e-06,False,gily
555,93,247.5104,4.474272930648769e-06,True,gily
513,174,286.4194,4.47427293064877e-06,True,gily
519,41,51.2847,4.47427293064877e-06,True,gily
513,50,76.9913,4.697986577181208e-06,True,gily
544,13,134.1863,4.697986577181209e-06,True,gily
517,84,185.361,4.697986577181209e-06,True,gily
504,53,233.712,4.697986577181209e-06,True,gily
504,50,39.8123,4.697986577181209e-06,True,gily
504,84,118.794,4.697986577181209e-06,True,gily
548,1,79.5487,4.921700223713647e-06,True,gily
497,161,213.3559,4.921700223713647e-06,True,gily
557,5,173.2341,4.921700223713647e-06,True,gily
506,21,267.6119,4.921700223713648e-06,True,gily
497,120,184.3758,4.921700223713648e-06,True,gily
497,116,235.2988,4.921700223713648e-06,True,gily
497,202,329.163,4.921700223713648e-06,True,gily
517,129,227.9385,4.921700223713648e-06,True,gily
541,19,314.738,5.1454138702460855e-06,False,gily
493,36,221.883,5.1454138702460855e-06,True,gily
526,15,185.6381,5.1454138702460855e-06,True,gily
519,41,323.0235,5.1454138702460855e-06,True,gily
512,114,309.8775,5.1454138702460855e-06,True,gily
517,32,32.4871,5.369127516778524e-06,True,gily
512,91,352.631,5.369127516778524e-06,True,gily
541,8,303.745,5.369127516778524e-06,True,gily
497,27,20.8611,5.369127516778524e-06,True,gily
497,124,175.1112,5.369127516778524e-06,True,gily
526,93,315.7631,5.369127516778524e-06,True,gily
504,8,312.7486,5.5928411633109614e-06,True,gily
504,8,184.1606,5.592841163310962e-06,True,gily
519,116,38.9107,5.592841163310962e-06,True,gily
501,206,189.6157,5.592841163310962e-06,True,gily
519,145,176.399,5.592841163310963e-06,True,gily
505,88,195.9421,5.592841163310963e-06,True,gily
497,173,108.4152,5.592841163310963e-06,True,gily
504,190,45.1716,5.592841163310963e-06,True,gily
497,161,313.569,5.8165548098434e-06,True,gily
504,8,247.7647,5.8165548098434e-06,True,gily
506,14,289.2489,5.816554809843401e-06,True,gily
518,7,73.0673,5.816554809843401e-06,True,gily
512,12,201.8243,5.816554809843401e-06,True,gily
549,17,355.3411,6.04026845637584e-06,True,gily
517,20,200.393,6.04026845637584e-06,True,gily
504,193,69.6809,6.263982102908277e-06,True,gily
497,155,347.529,6.263982102908277e-06,True,gily
493,116,262.0134,6.487695749440716e-06,True,gily
504,115,83.8748,6.487695749440716e-06,True,gily
517,129,59.6295,6.487695749440716e-06,True,gily
565,93,83.0947,6.7114093959731546e-06,True,gily
504,8,196.7107,6.7114093959731546e-06,True,gily
504,0,266.3015,6.7114093959731546e-06,True,gily
504,8,351.808,6.935123042505593e-06,True,gily
514,17,139.7509,6.935123042505593e-06,True,gily
548,115,164.8718,6.935123042505593e-06,False,gily
512,87,343.0925,6.935123042505594e-06,True,gily
506,33,245.4254,7.158836689038031e-06,True,gily
497,119,47.0398,7.158836689038031e-06,True,gily
520,4,35.5728,7.158836689038031e-06,True,gily
519,5,230.3545,7.38255033557047e-06,True,gily
545,172,103.8338,7.38255033557047e-06,True,gily
513,57,131.1326,7.38255033557047e-06,True,gily
526,74,182.234,7.38255033557047e-06,True,gily
525,11,135.8236,7.38255033557047e-06,True,gily
519,146,108.8627,7.38255033557047e-06,True,gily
508,17,352.8935,7.382550335570472e-06,True,gily
555,93,338.5078,7.382550335570472e-06,True,gily
565,128,273.6835,7.606263982102909e-06,True,gily
513,60,226.6339,7.606263982102909e-06,True,gily
506,14,11.8806,7.606263982102909e-06,True,gily
497,13,97.8623,7.606263982102909e-06,True,gily
513,97,153.5826,7.606263982102909e-06,True,gily
513,65,346.6275,7.606263982102911e-06,True,gily
526,93,198.6238,7.829977628635348e-06,True,gily
517,112,328.6431,7.829977628635348e-06,True,gily
504,27,115.7254,8.053691275167787e-06,True,gily
504,159,198.5787,8.277404921700225e-06,True,gily
513,44,49.6086,8.277404921700225e-06,True,gily
526,5,221.3621,8.277404921700225e-06,True,gily
519,206,293.3612,8.501118568232662e-06,True,gily
497,191,115.9596,8.7248322147651e-06,True,gily
513,60,321.7901,8.724832214765101e-06,True,gily
517,140,138.0316,8.94854586129754e-06,True,gily
505,63,286.1062,8.94854586129754e-06,True,gily
505,139,234.8665,9.17225950782998e-06,True,gily
504,9,200.8303,9.395973154362418e-06,True,gily
512,88,59.9795,9.395973154362418e-06,True,gily
508,82,186.6466,9.395973154362418e-06,True,gily
519,85,161.0143,9.619686800894856e-06,True,gily
508,83,305.4499,9.619686800894856e-06,True,gily
517,106,171.321,9.619686800894858e-06,True,gily
515,2,5.2487,9.843400447427292e-06,True,gily
505,27,254.1763,9.843400447427292e-06,True,gily
515,6,268.1742,9.843400447427295e-06,True,gily
497,71,39.6261,1.0067114093959734e-05,True,gily
518,8,325.815,1.0290827740492173e-05,True,gily
548,14,285.3784,1.0290827740492173e-05,True,gily
504,66,165.053,1.0290827740492173e-05,True,gily
513,140,96.7768,1.0290827740492173e-05,True,gily
501,119,127.4755,1.0290827740492173e-05,True,gily
501,175,92.259,1.0290827740492173e-05,True,gily
508,18,26.7796,1.0514541387024608e-05,True,gily
557,43,280.8125,1.0514541387024608e-05,True,gily
493,113,14.8354,1.0514541387024608e-05,True,gily
504,100,176.0544,1.0514541387024608e-05,True,gily
494,43,255.5976,1.0738255033557049e-05,True,gily
517,112,171.7833,1.0961968680089486e-05,True,gily
513,126,213.7251,1.0961968680089487e-05,True,gily
548,127,303.5255,1.1185682326621925e-05,True,gily
513,83,190.8238,1.1185682326621925e-05,True,gily
526,97,193.2211,1.1185682326621926e-05,True,gily
501,171,78.7497,1.1185682326621926e-05,True,gily
494,1,232.4107,1.1409395973154363e-05,True,gily
497,155,270.6309,1.1409395973154363e-05,True,gily
521,15,48.5407,1.1409395973154363e-05,True,gily
525,0,222.7177,1.1633109619686804e-05,True,gily
504,167,122.3429,1.1633109619686804e-05,True,gily
508,55,193.7907,1.185682326621924e-05,True,gily
519,143,101.8786,1.2080536912751678e-05,True,gily
497,196,306.0507,1.2080536912751678e-05,True,gily
505,130,71.9896,1.2080536912751678e-05,True,gily
549,14,299.5213,1.208053691275168e-05,True,gily
504,113,157.0011,1.2304250559284115e-05,True,gily
504,9,61.3247,1.2304250559284115e-05,True,gily
505,15,153.3365,1.2304250559284115e-05,True,gily
501,159,278.551,1.230425055928412e-05,True,gily
505,23,131.7753,1.2527964205816554e-05,True,gily
517,166,145.0713,1.2975391498881432e-05,True,gily
513,174,245.4444,1.2975391498881432e-05,True,gily
493,58,55.6693,1.2975391498881432e-05,True,gily
517,82,355.1804,1.2975391498881432e-05,True,gily
519,117,334.0737,1.3199105145413872e-05,True,gily
519,42,168.8595,1.3422818791946307e-05,True,gily
517,162,97.5389,1.3646532438478746e-05,True,gily
515,2,333.134,1.364653243847875e-05,True,gily
517,157,222.6832,1.3870246085011188e-05,True,gily
504,8,225.3251,1.3870246085011188e-05,True,gily
517,14,313.6429,1.45413870246085e-05,True,gily
517,82,189.0944,1.4988814317673376e-05,True,gily
549,3,315.3261,1.498881431767338e-05,True,gily
548,115,284.2469,1.498881431767338e-05,False,gily
499,5,223.7078,1.5212527964205818e-05,True,gily
517,114,140.2484,1.5212527964205818e-05,True,gily
515,9,293.697,1.5212527964205818e-05,True,gily
501,124,86.2279,1.5436241610738255e-05,True,gily
565,93,21.0028,1.5659955257270695e-05,True,gily
517,98,135.2859,1.56599552572707e-05,True,gily
494,24,206.3621,1.588366890380313e-05,True,gily
555,92,345.8259,1.6107382550335573e-05,True,gily
504,200,176.9204,1.6107382550335573e-05,True,gily
541,3,99.329,1.6107382550335573e-05,True,gily
497,71,259.8274,1.633109619686801e-05,True,gily
504,56,161.5576,1.633109619686801e-05,True,gily
497,27,356.3572,1.633109619686801e-05,True,gily
513,187,94.027,1.633109619686801e-05,True,gily
545,3,102.3031,1.633109619686801e-05,True,gily
526,15,34.8662,1.655480984340045e-05,True,gily
501,145,80.5073,1.6778523489932888e-05,True,gily
505,65,63.4032,1.7002237136465325e-05,True,gily
497,195,178.1329,1.7225950782997762e-05,True,gily
513,140,152.2406,1.7225950782997762e-05,True,gily
526,5,197.701,1.7225950782997762e-05,True,gily
504,93,158.7841,1.74496644295302e-05,True,gily
512,93,254.141,1.7449664429530202e-05,True,gily
519,28,262.8989,1.767337807606264e-05,True,gily
506,38,318.7403,1.789709172259508e-05,True,gily
497,96,281.8009,1.812080536912752e-05,True,gily
493,37,254.6756,1.812080536912752e-05,True,gily
545,83,39.1197,1.812080536912752e-05,True,gily
541,3,194.7872,1.812080536912752e-05,True,gily
497,112,14.0757,1.834451901565996e-05,True,gily
519,7,193.6055,1.8568232662192395e-05,True,gily
493,3,77.0035,1.8568232662192395e-05,True,gily
497,197,233.0834,1.9463087248322143e-05,True,gily
517,3,192.0116,1.9463087248322143e-05,True,gily
517,160,241.0922,1.946308724832215e-05,True,gily
493,16,49.8686,1.968680089485459e-05,True,gily
565,94,142.702,2.0134228187919465e-05,True,gily
565,33,76.8929,2.0134228187919468e-05,True,gily
530,16,307.384,2.0357941834451905e-05,True,gily
530,10,63.4045,2.0581655480984346e-05,True,gily
555,51,182.6327,2.147651006711409e-05,True,gily
501,131,154.5794,2.147651006711409e-05,True,gily
517,19,202.0318,2.1700223713646528e-05,True,gily
504,87,147.121,2.1923937360178965e-05,True,gily
504,106,266.2791,2.1923937360178968e-05,True,gily
555,0,42.9709,2.259507829977629e-05,True,gily
504,151,115.965,2.2818791946308727e-05,True,gily
504,167,130.6919,2.2818791946308727e-05,True,gily
497,115,41.2386,2.32662192393736e-05,True,gily
497,103,260.5428,2.3266219239373608e-05,True,gily
525,1,224.9073,2.371364653243848e-05,True,gily
513,107,220.0372,2.371364653243848e-05,True,gily
552,40,270.0148,2.393736017897092e-05,True,gily
517,181,125.1269,2.393736017897092e-05,True,gily
508,27,284.7245,2.393736017897092e-05,True,gily
548,3,53.9883,2.416107382550336e-05,True,gily
497,67,355.0703,2.416107382550336e-05,True,gily
497,70,154.9724,2.460850111856824e-05,True,gily
545,153,33.7173,2.460850111856824e-05,False,gily
504,115,358.1128,2.483221476510068e-05,True,gily
545,180,93.7924,2.5055928411633108e-05,False,gily
517,179,147.3321,2.5503355704697986e-05,True,gily
552,94,267.1108,2.550335570469799e-05,True,gily
545,145,86.3823,2.550335570469799e-05,False,gily
517,144,94.5077,2.61744966442953e-05,True,gily
545,82,198.748,2.61744966442953e-05,True,gily
548,116,97.0503,2.6398210290827744e-05,False,gily
519,96,150.815,2.6398210290827744e-05,True,gily
548,113,79.6018,2.6398210290827744e-05,True,gily
513,140,37.9167,2.662192393736018e-05,True,gily
517,97,179.2537,2.706935123042505e-05,True,gily
504,88,246.5929,2.7516778523489936e-05,True,gily
519,55,73.4921,2.8187919463087248e-05,True,gily
504,8,111.5856,2.818791946308725e-05,True,gily
565,30,51.4584,2.8411633109619688e-05,True,gily
504,72,93.0749,2.8411633109619688e-05,True,gily
497,209,136.2964,2.863534675615212e-05,True,gily
548,130,21.4284,2.8635346756152125e-05,True,gily
545,178,75.6688,2.8635346756152125e-05,True,gily
545,83,149.1167,2.953020134228188e-05,True,gily
494,45,11.0741,2.975391498881431e-05,True,gily
512,25,79.8697,2.9753914988814324e-05,True,gily
517,4,259.5403,2.9977628635346755e-05,True,gily
508,82,289.2641,2.9977628635346755e-05,True,gily
555,140,178.0634,2.997762863534676e-05,False,gily
504,52,36.3205,3.02013422818792e-05,True,gily
493,12,298.5575,3.064876957494407e-05,True,gily
504,170,116.32,3.087248322147651e-05,True,gily
541,19,350.57,3.1096196868008944e-05,False,gily
512,107,227.6555,3.176733780760627e-05,True,gily
548,10,13.909,3.221476510067114e-05,True,gily
517,169,190.5062,3.31096196868009e-05,True,gily
519,144,161.2764,3.355704697986577e-05,True,gily
548,116,37.3689,3.355704697986577e-05,False,gily
512,105,305.5108,3.48993288590604e-05,True,gily
512,34,19.4261,3.512304250559284e-05,True,gily
496,7,137.5062,3.512304250559284e-05,True,gily
548,4,202.9609,3.5123042505592845e-05,True,gily
504,93,135.432,3.5123042505592845e-05,True,gily
517,38,118.0545,3.5794183445190146e-05,True,gily
545,28,18.2676,3.579418344519015e-05,True,gily
497,198,63.1361,3.646532438478748e-05,True,gily
504,195,137.3019,3.668903803131991e-05,True,gily
555,92,254.2743,3.713646532438479e-05,True,gily
519,55,228.0815,3.736017897091723e-05,True,gily
513,130,200.5683,3.7583892617449664e-05,True,gily
517,179,17.2456,3.89261744966443e-05,True,gily
493,12,231.8181,3.914988814317673e-05,True,gily
517,180,299.8002,3.914988814317674e-05,True,gily
545,128,328.5159,3.982102908277404e-05,True,gily
521,19,218.7304,4.004474272930648e-05,True,gily
518,5,52.2655,4.138702460850112e-05,True,gily
513,156,253.9215,4.1387024608501125e-05,True,gily
526,5,174.9385,4.161073825503356e-05,True,gily
565,104,244.9821,4.1834451901566e-05,True,gily
504,144,140.2339,4.272930648769576e-05,True,gily
517,61,280.2716,4.317673378076063e-05,True,gily
497,122,326.1739,4.362416107382551e-05,True,gily
548,154,140.9391,4.384787472035794e-05,True,gily
535,27,302.5689,4.384787472035794e-05,True,gily
505,102,311.2129,4.451901565995526e-05,True,gily
526,37,130.2561,4.519015659955257e-05,True,gily
526,10,98.3306,4.519015659955257e-05,True,gily
526,0,12.6657,4.519015659955257e-05,True,gily
519,118,296.4666,4.541387024608501e-05,True,gily
529,3,333.79,4.675615212527965e-05,False,gily
541,19,245.9668,4.697986577181208e-05,False,gily
555,130,286.6108,4.720357941834452e-05,False,gily
506,59,191.1965,4.720357941834452e-05,True,gily
565,98,165.4439,4.832214765100671e-05,True,gily
513,182,341.2654,4.832214765100671e-05,True,gily
516,1,257.614,4.876957494407159e-05,True,gily
541,4,112.2441,4.899328859060403e-05,True,gily
513,151,111.3393,4.8993288590604034e-05,True,gily
565,94,225.9501,4.921700223713646e-05,True,gily
535,10,262.6817,5.05592841163311e-05,True,gily
519,43,48.2111,5.100671140939597e-05,True,gily
505,138,55.7772,5.100671140939597e-05,True,gily
505,61,131.3004,5.123042505592841e-05,True,gily
512,58,7.7238,5.145413870246085e-05,True,gily
501,134,251.6803,5.1901565995525726e-05,True,gily
565,33,14.3551,5.302013422818792e-05,True,gily
497,154,50.5059,5.369127516778522e-05,True,gily
518,5,296.2345,5.369127516778524e-05,True,gily
519,6,193.4946,5.503355704697986e-05,True,gily
552,91,12.6897,5.503355704697987e-05,True,gily
555,76,275.3411,5.6152125279642055e-05,True,gily
501,133,46.6129,5.637583892617448e-05,True,gily
504,53,85.181,0.0005785234899328,True,undergrad
504,164,264.0936,0.0003742729306487,True,undergrad
519,197,34.3236,0.0014959731543624,True,undergrad
565,113,295.3863,0.0019308724832214,False,undergrad
504,68,110.9477,0.0002422818791946,True,undergrad
497,202,56.6127,0.0022673378076062,True,undergrad
510,3,357.6569,0.0023829977628635,True,undergrad
516,4,320.5496,8.948545861297539e-07,True,undergrad
517,63,66.1481,0.0010671140939597,True,undergrad
513,181,97.2715,0.0,False,undergrad
545,81,353.425,7.404921700223714e-05,True,undergrad
515,19,204.827,0.0019997762863534,True,undergrad
548,128,74.4885,8.948545861297539e-07,True,undergrad
526,11,329.4826,1.3422818791946309e-06,True,undergrad
517,176,222.3919,0.0017302013422818,True,undergrad
545,175,199.949,0.0005744966442953,True,undergrad
526,29,191.9102,0.0,False,undergrad
508,83,324.1159,0.0008870246085011,True,undergrad
513,62,312.4417,0.0002847874720357,True,undergrad
549,15,321.7816,0.0008608501118568,True,undergrad
493,14,55.11,0.0027753914988814,True,undergrad
519,142,59.6915,0.0021046979865771,True,undergrad
513,180,335.6089,0.0,False,undergrad
512,86,94.7659,0.0032393736017897,True,undergrad
493,15,198.0223,0.0016648769574944,True,undergrad
511,0,197.8947,0.002693288590604,True,undergrad
545,123,64.6391,0.0022545861297539,False,undergrad
496,7,70.3059,0.0002015659955257,True,undergrad
521,49,325.352,0.0,False,undergrad
492,6,266.4432,0.0,False,undergrad
493,21,114.616,0.0031476510067114,True,undergrad
493,97,13.6379,4.47427293064877e-07,True,undergrad
492,14,343.9219,0.0,False,undergrad
512,14,195.8241,0.0001590604026845,True,undergrad
555,26,49.645,0.0020809843400447,True,undergrad
497,141,109.3422,0.0001608501118568,True,undergrad
499,15,83.4862,0.0004711409395973,True,undergrad
526,20,245.7957,2.237136465324385e-07,False,undergrad
519,130,52.3531,0.0,False,undergrad
493,44,22.7822,0.001865548098434,True,undergrad
